low,,
arise,arose,1
bear,bore,1
beat,beat,1
beget,begot,1
beseech,besought,1
bide,bade,1
cleave,cleft,1
cling,clung,2
clothe,clothed,1
fling,flung,2
forbid,forbad,1
forsake,forsook,1
gild,gilded,2
heave,heaved,2
mow,mowed,2
overeat,overate,1
pen,pent,2
plead,pled,2
rid,rid,2
seek,sought,2
shed,shed,2
shine,shone,2
shoe,shod,2
slay,slew,2
slide,slid,2
sling,slung,1
slink,slunk,1
slit,slit,1
smell,smelt,2
spill,spilt,2
spin,spun,1
spit,spat,2
split,split,2
telecast,telecast,2
undo,undid,1
medium,,
awake,awoke,5
become,became,5
begin,began,5
bend,bent,3
bet,bet,5
bid,bade,3
bind,bound,3
bite,bit,3
bleed,bled,3
blow,blew,5
break,broke,5
breed,bred,3
broadcast,broadcast,3
build,built,5
burn,burnt,3
burst,burst,3
bust,bust,3
buy,bought,5
cast,cast,3
catch,caught,3
choose,chose,5
come,came,5
cost,cost,5
creep,crept,3
cut,cut,5
deal,dealt,5
dig,dug,5
draw,drew,5
dream,dreamt,3
drink,drank,5
drive,drove,5
dwell,dwelt,3
fall,fell,6
feed,fed,5
feel,felt,5
fight,fought,6
find,found,5
flee,fled,3
forecast,forecast,3
forget,forgot,4
freeze,froze,3
gnaw,gnawed,3
grind,ground,3
grow,grew,3
hang,hung,3
hear,heard,5
hide,hid,3
hit,hit,5
hold,held,5
hurt,hurt,5
keep,kept,5
kneel,knelt,3
know,knew,5
lay,laid,5
lead,led,3
lean,leant,3
leap,leapt,3
learn,learnt,3
leave,left,5
lend,lent,3
lie,lay,5
light,lit,3
lose,lost,3
make,made,3
may,might,5
mean,meant,3
meet,met,6
fake,fake row,-1
partake,partook,3
pay,paid,4
quit,quit,3
read,read,3
ride,rode,3
ring,rang,5
run,ran,3
say,said,5
sell,sold,3
send,sent,5
set,set,3
sew,sewed,3
shake,shook,3
shall,should,4
shit,shit,4
shoot,shot,3
show,showed,4
shred,shred,4
shrink,shrank,4
shut,shut,4
sing,sang,3
sink,sank,3
sit,sat,5
sleep,slept,4
smite,smote,3
speak,spoke,6
spell,spelt,4
spend,spent,6
spoil,spoilt,3
spread,spread,4
spring,sprang,3
stand,stood,6
steal,stole,5
sting,stung,6
stink,stank,3
stride,strode,4
strive,strove,5
swear,swore,6
sweat,sweat,3
sweep,swept,3
swim,swam,4
teach,taught,6
tear,tore,5
thrust,thrust,5
tread,trod,4
weave,wove,4
weep,wept,5
wind,wound,5
wring,wrung,5
write,wrote,6
be,was,10
bring,brought,7
can,could,8
do,did,9
eat,ate,7
get,got,9
give,gave,7
go,went,10
have,had,10
let,let,9
put,put,8
see,saw,7
speed,sped,8
stick,stuck,8
strike,struck,7
string,strung,7
take,took,7
tell,told,8
think,thought,7
throw,threw,8
understand,understood,8
wake,woke,10
wear,wore,9
wed,wed,8
wet,wet,7
win,won,7
