high
feel,felt
have,had
make,made
get,got
give,gave
take,took
come,came
go,went
medium
beat,beaten
fit,fitted
set,set
spread,spread
hit,hit
cut,cut
put,put
build,built
send,sent
spend,spent
deal,dealt
do,did
flee,fled
tell,tell
sell,sell
hear,heard
keep,kept
leave,left
sleep,slept
lose,lost
mean,meant
say,said
sweep,swept
think,thought
buy,bought
bring,brought
seek,sought
teach,taught
meet,met
shoot,shot
lead,lead
understand,understood
sit,sat
mislead,mislead
bleed,bled
feed,fed
stand,stood
light,lit
find,found
fight,fought
read,read
meet,met
hide,hid
hold,held
ride,rode
drink,drank
ring,rang
sing,sung
swim,swam
drag,dragged
hang,hung
swing,swung
shake,shook
arise,arose
rise,rose
run,rang
become,became
bear,bore
wear,wore
speak,spoke
brake,broke
drive,drove
strike,stroke
fall,fell
freeze,froze
choose,chose
throw,threw
blow,blew
grow,grew
draw,drew
fly,flew
know,knew
see,saw
low
thrust,thrust
bid,bid
bend,bent
lend,lent
creep,crept
weep,wept
catch,caught
breed,bred
wind,wound
grind,ground
dig,dug
cling,clung
stick,stuck
tear,tore
