alight,alighted,1
arise,arose,1
awake,awoke,5
be,was,10
bear,bore,1
beat,beat,1
become,became,5
beget,begot,1
begin,began,5
bend,bent,3
bereave,bereaved,1
beseech,besought,1
bet,bet,5
bid,bade,3
bide,bade,1
bind,bound,3
bite,bit,3
bleed,bled,3
bless,blessed,3
blow,blew,5
break,broke,5
breed,bred,3
bring,brought,7
broadcast,broadcast,3
build,built,5
burn,burnt,3
burst,burst,3
bust,bust,3
buy,bought,5
can,could,8
cast,cast,3
catch,caught,3
choose,chose,5
cleave,cleft,1
cling,clung,2
clothe,clothed,1
come,came,5
cost,cost,5
creep,crept,3
crow,crowed,5
cut,cut,5
deal,dealt,5
dig,dug,5
do,did,9
draw,drew,5
dream,dreamt,3
drink,drank,5
drive,drove,5
dwell,dwelt,3
eat,ate,7
fall,fell,6
feed,fed,5
feel,felt,5
fight,fought,6
find,found,5
flee,fled,3
fling,flung,2
forbid,forbad,1
forecast,forecast,3
forget,forgot,4
forsake,forsook,1
freeze,froze,3
geld,gelded,1
get,got,9
gild,gilded,2
give,gave,7
gnaw,gnawed,3
go,went,10
grind,ground,3
grip,gripped,3
grow,grew,3
hang,hung,3
have,had,10
hear,heard,5
heave,heaved,2
hew,hewed,1
hide,hid,3
hit,hit,5
hold,held,5
hurt,hurt,5
keep,kept,5
kneel,knelt,3
knit,knitted,3
know,knew,5
lay,laid,5
lead,led,3
lean,leant,3
leap,leapt,3
learn,learnt,3
leave,left,5
lend,lent,3
let,let,9
lie,lay,5
light,lit,3
lose,lost,3
make,made,3
may,might,5
mean,meant,3
meet,met,6
melt,melted,3
mow,mowed,2
pay,paid,4
pen,pent,2
plead,pled,2
prove,proved,3
put,put,8
quit,quit,3
read,read,3
rid,rid,2
ride,rode,3
ring,rang,5
run,ran,3
saw,sawed,3
say,said,5
see,saw,7
seek,sought,2
sell,sold,3
send,sent,5
set,set,3
sew,sewed,3
shake,shook,3
shall,should,4
shear,sheared,1
shed,shed,2
shine,shone,2
shit,shit,4
shoe,shod,2
shoot,shot,3
show,showed,4
shred,shred,4
shrink,shrank,4
shut,shut,4
sing,sang,3
sink,sank,3
sit,sat,5
slay,slew,2
sleep,slept,4
slide,slid,2
sling,slung,1
slink,slunk,1
slit,slit,1
smell,smelt,2
smite,smote,3
sow,sowed,4
speak,spoke,6
speed,sped,8
spell,spelt,4
spend,spent,6
spill,spilt,2
spin,spun,1
spit,spat,2
split,split,2
spoil,spoilt,3
spread,spread,4
spring,sprang,3
stand,stood,6
steal,stole,5
stick,stuck,8
sting,stung,6
stink,stank,3
stride,strode,4
strike,struck,7
string,strung,7
strive,strove,5
swear,swore,6
sweat,sweat,3
sweep,swept,3
swell,swelled,4
swim,swam,4
take,took,7
teach,taught,6
tear,tore,5
telecast,telecast,2
tell,told,8
think,thought,7
throw,threw,8
thrust,thrust,5
tread,trod,4
understand,understood,8
wake,woke,10
wear,wore,9
weave,wove,4
wed,wed,8
weep,wept,5
wet,wet,7
win,won,7
wind,wound,5
wring,wrung,5
write,wrote,6
