alight,alighted
arise,arose
awake,awoke
#
be,was
bear,bore
beat,beat
become,became
beget,begot
begin,began
bend,bent
bereave,bereaved
beseech,besought
bet,bet
bid,bade
bide,bade
bind,bound
bite,bit
bleed,bled
bless,blessed
blow,blew
break,broke
breed,bred
bring,brought
broadcast,broadcast
build,built
burn,burnt
burst,burst
bust,bust
buy,bought
#
can,could
cast,cast
catch,caught
choose,chose
cleave,cleft
cling,clung
clothe,clothed
come,came
cost,cost
creep,crept
crow,crowed
cut,cut
#
deal,dealt
dig,dug
do,did
draw,drew
dream,dreamt
drink,drank
drive,drove
dwell,dwelt
#
eat,ate
#
fall,fell
feed,fed
feel,felt
fight,fought
find,found
flee,fled
fling,flung
forbid,forbad
forecast,forecast
forget,forgot
forsake,forsook
freeze,froze
#
geld,gelded
get,got
gild,gilded
give,gave
gnaw,gnawed
go,went
grind,ground
grip,gripped
grow,grew
#
hang,hung
have,had
hear,heard
heave,heaved
hew,hewed
hide,hid
hit,hit
hold,held
hurt,hurt
#
keep,kept
kneel,knelt
knit,knitted
know,knew
#
lay,laid
lead,led
lean,leant
leap,leapt
learn,learnt
leave,left
lend,lent
let,let
lie,lay
light,lit
lose,lost
#
make,made
may,might
mean,meant
meet,met
melt,melted
mow,mowed
#
pay,paid
pen,pent
plead,pled
prove,proved
put,put
#
quit,quit
#
read,read
rid,rid
ride,rode
ring,rang
run,ran
#
saw,sawed
say,said
see,saw
seek,sought
sell,sold
send,sent
set,set
sew,sewed
shake,shook
shall,should
shear,sheared
shed,shed
shine,shone
shit,shit
shoe,shod
shoot,shot
show,showed
shred,shred
shrink,shrank
shut,shut
sing,sang
sink,sank
sit,sat
slay,slew
sleep,slept
slide,slid
sling,slung
slink,slunk
slit,slit
smell,smelt
smite,smote
sow,sowed
speak,spoke
speed,sped
spell,spelt
spend,spent
spill,spilt
spin,spun
spit,spat
split,split
spoil,spoilt
spread,spread
spring,sprang
stand,stood
steal,stole
stick,stuck
sting,stung
stink,stank
stride,strode
strike,struck
string,strung
strive,strove
swear,swore
sweat,sweat
sweep,swept
swell,swelled
swim,swam
#
take,took
teach,taught
tear,tore
telecast,telecast
tell,told
think,thought
throw,threw
thrust,thrust
tread,trod
#
understand,understood
#
wake,woke
wear,wore
weave,wove
wed,wed
weep,wept
wet,wet
win,won
wind,wound
wring,wrung
write,wrote
