'fess,1
'low,1
'scuse,1
abandon,15
abide,6
abolish,8
abound,1
absent,2
absorb,13
abstain,1
abstract,3
abuse,3
accede,1
accelerate,5
accentuate,1
accept,72
accommodate,14
accompany,8
accomplish,23
accord,2
account,27
accumulate,3
accuse,10
ache,1
achieve,51
acknowledge,12
acquaint,3
acquiesce,3
acquire,27
act,74
activate,2
actuate,1
adapt,5
add,88
address,8
adduce,1
adhere,4
adjudicate,1
adjust,16
administer,3
admire,10
admit,37
adopt,13
adore,2
adorn,1
advance,15
adventure,1
advertise,3
advise,8
advocate,4
aerate,1
affect,34
affirm,12
affix,1
afford,40
age,2
agglomerate,2
aggravate,1
agitate,1
agree,51
aid,22
aim,10
alarm,2
alert,5
alienate,2
alight,1
align,2
allay,1
allege,1
alleviate,5
allocate,2
allot,1
allow,72
alter,15
alternate,1
amass,2
amaze,3
ambush,2
amend,2
amortize,2
amount,30
amplify,1
amuse,3
analyze,10
angle,1
annex,1
annihilate,1
announce,18
annoy,2
ansuh,1
answer,43
antagonize,1
anticipate,11
apologize,1
appeal,10
appear,117
appease,2
applaud,5
apply,56
appoint,6
apportion,1
appraise,4
appreciate,26
apprehend,1
approach,15
appropriate,1
approve,14
approximate,2
arbitrate,3
arch,1
argue,29
arise,28
arm,1
arouse,5
arrange,10
arrest,6
arrive,24
arrogate,1
articulate,2
ascend,1
ascertain,7
ascribe,1
ask,123
aspire,3
assail,3
assemble,8
assert,19
assess,6
assign,18
assimilate,2
assist,21
associate,10
assume,63
assure,37
astound,1
atone,1
attach,14
attack,24
attain,20
attempt,24
attend,52
attest,2
attract,19
attribute,2
audition,1
augment,2
authenticate,1
authorize,5
automate,1
autopsy,1
avail,3
avenge,2
average,5
avert,1
avoid,58
await,9
awake,1
awaken,7
award,3
back,25
backstitch,2
baffle,1
bag,1
bake,3
balance,8
ban,1
bang,2
banish,4
bankrupt,2
bar,2
barbecue,1
bare,1
barge,2
bargen,1
bark,1
barrel,1
barricade,1
base,3
bat,5
bathe,4
battle,3
bear,43
beat,25
beautify,1
beckon,1
become,235
befall,2
beg,11
beget,1
begin,84
begrudge,2
beguile,1
behave,13
behold,4
believe,200
belong,37
bemoan,1
bench,1
bend,12
benefit,20
beseech,1
besiege,1
besmirch,1
bespeak,1
best,1
bestow,2
bet,13
betide,2
betray,4
better,6
bevel,2
bewail,1
beware,3
bid,7
bide,1
bind,2
birdie,1
bite,7
black,1
blame,23
blanket,1
blast,3
blaze,3
blazon,1
bleed,2
blend,4
bless,9
blind,1
blink,4
blister,1
block,5
bloom,3
blossom,3
blot,1
blow,8
bludgeon,1
blunt,2
blur,1
blush,1
board,4
boast,7
bog,1
boil,7
bolster,2
bolt,2
bomb,3
boo,1
boobify,1
boost,5
boot,3
bore,7
borrow,9
bother,22
bounce,4
bound,2
bow,3
box,2
boycott,1
brace,1
brag,1
branch,2
brave,2
break,65
breathe,7
breed,3
bribe,1
bridge,4
bring,158
bristle,1
broach,1
broaden,8
broil,1
bruise,1
brush,13
brynge,1
buckle,3
bud,2
budge,3
budget,2
buffet,1
build,82
bulldoze,1
bullshit,1
bully,1
bum,1
bump,4
bundle,1
bunt,1
burden,1
burn,10
burne,1
burrow,1
burst,9
bury,5
bust,1
busy,1
butt,2
buy,68
buzz,1
bye,1
bypass,2
cable,2
calculate,4
call,134
calm,6
camouflage,1
camp,1
campaign,5
can,2
cancel,7
canoe,1
canvass,1
cap,3
capitalize,4
capture,13
care,75
caress,1
caricature,1
carry,88
cart,1
carve,3
cascade,1
case,2
cash,2
cast,6
catch,39
catchee,1
catechize,1
categorize,1
cater,3
cause,52
cauterize,1
caution,1
cavort,1
cease,15
celebrate,4
cement,1
center,9
center-punch,2
certify,5
cf.,8
chafe,1
chalk,1
challenge,14
champion,1
chance,1
chandelle,1
change,76
channel,1
chant,1
char,1
characterize,6
charge,15
charm,2
chart,1
chase,4
chat,2
chatter,1
cheat,1
check,51
cheer,2
cheere,1
cherish,5
chew,2
chicken,1
chide,2
chin,2
chin-up,1
choke,9
choose,50
chop,1
christsake,1
chuck,3
chuckle,2
cipher,1
circle,2
circulate,2
cite,7
claim,28
clamor,1
clarify,13
class,1
classify,6
clatter,1
clean,18
clear,14
clench,1
clerk,1
climax,1
climb,11
clinch,2
cling,6
clobber,1
clog,2
close,39
clot,1
clothe,1
cluster,5
clutch,1
co-operate,4
co-ordinate,1
coalesce,1
coat,1
coax,1
code,1
coerce,2
coexist,1
cohere,1
coin,1
coincide,12
collaborate,2
collapse,1
collar,3
collect,16
color,5
com,1
combat,4
combine,15
come,431
comend,1
comest,1
comfort,2
command,10
commemorate,2
commence,2
commend,7
comment,7
commiserate,1
commit,15
commune,1
communicate,13
communize,1
commute,10
compare,28
compass,1
compel,4
compensate,3
compete,23
compile,1
complain,11
complement,2
complete,19
complicate,2
comply,5
comport,1
compose,6
compound,2
comprehend,5
compress,2
comprise,11
compromise,3
compute,7
conceal,7
concede,8
conceive,14
concentrate,10
concern,12
conciliate,1
conclude,16
concur,4
condemn,4
condense,1
condition,1
conduct,20
confer,3
confess,11
confide,3
confine,2
confirm,16
conflict,3
conform,10
confront,8
confuse,5
congratulate,4
congregate,2
conjure,1
connect,3
connote,1
conquer,4
consent,1
conserve,3
consider,127
consign,2
consist,17
consolidate,2
conspire,1
constitute,29
construct,12
construe,1
consult,11
consume,2
contact,4
contain,45
contaminate,1
contemplate,7
contend,6
content,3
contest,2
continue,107
contract,6
contradict,4
contrast,5
contribute,44
contrive,1
control,28
converge,3
converse,3
convert,9
convey,13
convict,1
convince,4
cook,14
cool,7
cooperate,11
coordinate,7
cope,21
copy,2
core,2
corral,1
correct,12
correlate,3
correspond,7
corroborate,2
corrode,1
corrupt,1
cost,29
coste,1
cough,4
counsel,1
count,26
counter,2
counter-drill,1
counteract,4
counterattack,1
counterbalance,1
counterchallenge,1
court,2
cover,53
covet,1
crack,9
crane,1
crash,4
crave,2
crawl,9
create,54
credit,2
creep,7
cremate,1
criticize,4
crochet,1
cross,25
crouch,2
crowd,2
crown,1
crumble,1
crush,1
cry,18
crystallize,1
culminate,2
cultivate,3
cumulate,1
cup,1
curb,1
cure,12
curl,2
curse,4
curtail,4
cushion,2
custom-make,1
cut,87
damage,5
damn,10
dampen,2
dance,17
dangle,1
dare,16
darn,2
dash,1
date,5
daunt,1
dawn,1
dazzle,1
de-iodinate,1
deal,41
debate,2
decay,2
deceive,1
decelerate,1
decertify,1
decide,40
deck,1
declare,8
decline,7
decompose,1
decorate,2
decrease,10
decry,2
deduce,3
deduct,12
deed,1
deem,1
deepen,1
defeat,7
defend,21
defer,1
define,19
defraud,2
defray,2
defrost,1
defy,7
degrade,1
dehumanize,1
delay,8
delegate,4
delight,2
delimit,1
deliver,18
delivre,1
delude,2
demand,22
democratize,3
demonstrate,28
demoralize,3
demythologize,2
denote,4
denounce,5
deny,46
depart,7
depend,45
depict,3
deplore,1
deport,1
depose,1
deposit,1
depress,1
deprive,3
derive,13
derogate,1
descend,4
describe,41
desert,3
deserve,12
design,4
designate,3
desire,11
despair,1
despise,7
dessier,1
destroy,48
detach,1
detail,1
detain,1
detect,10
deter,1
deteriorate,1
determine,107
detest,1
detract,1
detribalize,1
devastate,1
develop,89
deviate,1
devise,8
devote,15
devour,2
diagnose,3
dice,1
dictate,3
die,57
differ,18
differentiate,2
diffuse,1
dig,9
dignify,1
digress,1
dilate,2
dimension,1
diminish,3
dine,2
dip,2
direct,14
disable,1
disabuse,2
disaffiliate,1
disagree,7
disappear,11
disapprove,4
disarm,2
disassemble,1
disbelieve,1
discard,1
discern,4
discharge,3
discipline,2
disclose,9
disconcert,1
discontinue,2
discorporate,1
discount,4
discourage,9
discourse,1
discover,40
discriminate,1
discuss,28
disdain,1
disengage,1
disentangle,2
disguise,3
dishearten,2
disintegrate,2
dislike,7
dislodge,2
dismiss,5
disown,1
dispatch,2
dispel,3
dispell,1
dispense,4
disperse,2
displace,3
display,12
dispose,5
disprove,3
dispute,4
disqualify,1
disregard,2
disrobe,1
disrupt,5
dissect,1
dissent,1
dissolve,5
dissuade,3
distil,1
distinguish,19
distort,4
distract,2
distribute,6
distrust,2
disturb,10
dive,3
divert,1
divest,1
divide,14
divorce,6
dock,2
document,2
dodge,4
dole,1
dominate,8
donate,3
dot,2
double,5
double-glaze,1
doubt,16
dovetail,1
down,2
downgrade,1
draft,1
drag,10
drahve,1
drain,7
dramatize,3
draw,46
draw-file,2
dream,11
dress,14
drift,3
drill,16
drink,25
drive,46
droop,1
drop,34
drown,3
dry,15
drywall,1
duck,7
dump,3
dunk,1
duplicate,2
dust,3
dwarf,2
dwell,8
dwindle,2
earn,15
ease,14
eat,58
ebb,1
echo,3
economize,3
edge,1
edit,2
educate,7
effect,16
effecte,1
effectuate,2
effloresce,1
eject,1
elaborate,6
elapse,1
elect,8
elicit,3
eliminate,26
emancipate,2
embark,5
embezzle,1
embody,1
embrace,8
emerge,18
emit,1
emphasize,20
employ,9
empower,1
emulate,3
enable,23
enact,7
encamp,1
enchant,1
encircle,1
encompass,4
encounter,13
encourage,46
encroach,1
end,40
endanger,1
endeavor,1
endorse,6
endow,2
endure,8
enforce,8
engage,14
engender,2
enhance,5
enjoin,1
enjoy,44
enlarge,7
enlighten,1
enlist,5
enrich,5
enroll,5
enslave,2
ensue,2
ensure,8
entail,5
enter,78
entertain,14
entitle,5
entreat,1
entrust,2
enunciate,1
envision,3
envy,3
epitomize,1
equal,6
equalize,1
equate,7
equip,1
eradicate,2
erase,1
erect,5
err,1
erupt,2
escape,44
eschew,1
escort,4
establish,58
estimate,9
eulogize,1
evacuate,1
evade,1
evaluate,13
evaporate,1
even,28
eventuate,1
evidence,1
evoke,6
evolve,5
exaggerate,8
exalt,1
examine,33
exasperate,1
exceed,18
excel,1
except,1
exchange,3
excite,3
exclaim,1
exclude,7
excoriate,1
excuse,6
execute,7
exemplify,2
exempt,1
exercise,23
exert,11
exhaust,2
exhibit,12
exist,59
exonerate,2
exorcise,1
expand,13
expect,108
expel,2
expend,1
experience,18
experiment,7
expire,1
explain,63
explode,6
exploit,8
explore,12
export,2
expose,7
express,27
expunge,1
extemporize,1
extend,29
extenuate,1
exterminate,2
extinguish,1
extract,5
extrapolate,1
extricate,2
fabricate,1
face,51
facilitate,5
fade,1
fail,37
fake,1
fall,66
falsify,2
falter,2
fan,4
fancy,3
farm,3
fascinate,3
fashion,3
fasten,4
father,1
fathom,3
fatten,1
favor,23
faze,1
fear,28
feather,1
feature,7
federalize,1
feed,45
feel,201
feint,1
fell,4
ferret,1
fetch,6
fete,1
fetishize,1
ffreind,1
field,2
figger,3
fight,43
figure,20
file,30
fill,49
film,1
filter,1
finance,18
find,397
fine,1
finger-paint,1
finish,24
fire,10
fit,38
fix,13
flag,1
flake,1
flame,4
flash,6
flatten,1
flatter,1
flee,1
flex,1
flicker,1
fling,2
flip,3
flirt,1
flng,1
float,3
flock,1
flog,1
flood,2
flounder,1
flourish,4
flow,13
flower,1
flurry,1
flush,1
fly,18
foam,1
focus,12
foil,2
fold,2
follow,97
fool,5
forbid,4
force,24
forecast,2
forego,3
foresee,3
forestall,5
foretell,1
forfeit,2
forget,53
forgit,2
forgive,24
forgo,1
fork,1
form,51
formalize,2
formulate,9
forsake,1
fort,3
fortify,2
foster,3
foul,1
found,1
frame,4
fraternize,1
free,11
freeze,5
frequent,2
fret,1
frighten,11
frown,1
frustrate,4
fry,2
fuck,4
fulfill,9
fulminate,1
function,6
furnish,29
further,8
fuse,2
fuss,2
gain,23
gallop,1
gamble,1
game,1
gang,2
garage,1
garden,1
garner,1
gas,1
gasp,1
gather,19
gay-ess,1
gaze,5
generalize,5
generate,7
gentle,1
germinate,2
get,742
gild,1
gird,1
git,4
give,387
glamorize,1
glance,10
glare,1
glaze,2
gleam,1
glean,1
glide,2
glimpse,1
glisten,2
glorify,1
glow,1
glue,1
gnaw,1
go,613
goddamn,2
gouge,1
govern,7
grab,12
graduate,3
grant,13
grapple,1
grasp,10
gratify,1
graunt,1
graze,1
greet,7
grill,1
grimace,2
grin,1
grind,2
grip,1
grok,5
grope,1
ground,1
group,4
grovel,1
grow,61
grumble,5
grunt,1
guarantee,2
guard,8
guess,53
guide,18
gun,1
guy,1
guzzle,1
hail,1
halt,7
hammer,1
hamper,2
hand,8
handle,34
hang,26
happen,63
harass,1
harbor,3
harden,1
harm,1
harry,1
harvest,2
hasten,3
hatch,1
hate,33
haul,3
haunt,2
hazard,1
head,13
heal,2
hear,153
heare,2
heat,5
heave,1
heed,7
heighten,1
help,211
herd,2
hesitate,10
hibachi,1
hibernate,2
hide,18
hike,1
hint,1
hire,15
hit,38
hobble,1
hoist,1
hold,144
hole,1
home,1
homogenize,1
honeymoon,1
honor,13
hook,1
hoot,1
hop,1
hope,68
house,9
hover,4
huckster,1
hug,2
hum,1
humanize,1
humble,1
humor,3
hunch,1
hunt,5
hurdle,1
hurl,3
hurry,18
hurt,15
hustle,2
hypothesize,1
identify,26
idle,1
idolize,1
ignite,2
ignore,19
illuminate,1
illumine,1
illustrate,17
imagine,61
imbibe,1
imitate,5
impair,4
impart,4
imperil,1
impinge,3
implement,3
implore,1
imply,13
import,3
impose,9
impress,3
imprint,1
improve,39
improvise,2
impute,1
inactivate,2
incarnate,1
incise,1
incite,3
include,113
incorporate,2
increase,81
incur,5
index,1
indicate,80
induce,9
indulge,9
infect,1
infer,1
infest,1
inflame,1
inflate,1
inflict,4
influence,18
inform,7
infuriate,1
inhabit,1
inherit,4
inhibit,7
initiate,5
inject,6
innovate,1
inquire,6
insert,9
insist,27
inspect,12
inspire,3
install,8
instigate,1
institute,1
instruct,3
insulate,2
insult,2
insure,24
integrate,7
intend,14
intensify,4
interact,2
intercede,1
intercept,3
interest,3
interfere,9
interpenetrate,1
interpret,11
interrupt,4
intersect,6
intervene,2
interview,2
intimidate,2
introduce,11
intrude,1
inure,2
invade,5
invalidate,2
inveigh,1
invent,7
inventory,1
invert,1
invest,3
investigate,11
invite,10
invoke,4
involve,31
iodinate,1
iron,1
irrigate,1
isolate,8
issue,14
itch,3
jam,2
jeopardize,4
jerk,1
join,63
joke,3
jolt,2
jostle,1
journey,1
judge,16
jump,15
justify,26
kayo,1
keel,1
keep,257
key,1
keynote,3
kick,4
kid,1
kill,60
kiss,9
knead,1
kneel,5
knit,2
knock,11
