abandon,15
abound,2
absent,2
absorb,14
abstract,3
accelerate,5
accept,78
acclaim,1
accompany,8
accomplishe,1
account,36
accrue,1
accuse,12
ache,2
achieve,56
acknowledge,14
acquire,29
act,85
adapt,5
add,98
addresse,4
adhere,5
adjoin,2
adjourn,1
adjust,18
administer,4
admire,11
admit,39
adopt,15
adorn,2
advance,16
advertise,4
advise,10
advocate,4
affect,52
affirm,13
affix,1
afford,45
aggravate,2
agree,62
aid,28
aim,13
alert,6
allege,1
allocate,2
allot,1
allow,91
alter,16
alternate,1
amaze,3
amend,2
amount,50
amuse,3
analyze,12
announce,21
annoy,3
answer,51
anticipate,13
apologize,1
appeal,11
appear,201
applaud,5
apply,56
appoint,7
appreciate,27
approach,15
appropriate,2
approve,15
approximate,2
arche,2
argue,39
arm,1
arouse,7
arrange,11
arrest,6
arrive,31
ascend,1
ascertain,7
ascribe,2
ask,140
aspire,4
assault,1
assemble,8
assert,24
assign,22
assist,21
associate,11
assume,71
assure,43
attach,14
attack,27
attain,21
attempt,31
attend,58
attest,2
attract,22
attribute,3
augment,2
authorize,7
avail,3
average,5
avert,1
avoid,61
await,12
awaken,8
award,3
back,26
baffle,1
bake,4
balance,8
balk,1
ban,2
bang,3
banish,4
bank,1
bark,1
base,7
bathe,4
bear,60
beckon,4
befuddle,1
beg,12
behave,15
believe,243
bellow,1
belong,59
belt,1
besmirch,1
best,1
bestow,2
bet,13
betray,7
bewilder,1
birdie,1
blame,23
blast,3
blaze,3
blend,4
blink,4
block,5
bloom,3
blossom,3
blot,2
blur,1
blush,1
board,5
boast,9
bog,1
boil,8
bolt,2
bomb,3
boost,5
boot,3
bore,8
borrow,10
bother,25
bounce,4
bound,2
bow,4
brace,1
brag,1
breathe,9
bribe,1
brighten,1
bristle,2
broaden,10
brush,13
bubble,1
buckle,3
bud,2
bug,1
bulk,1
bulletin,1
bum,1
burie,1
burn,12
burrow,1
bury,5
bust,1
buy,79
buzz,1
bypass,2
cable,2
calculate,4
call,178
calm,6
campaign,5
can,2
cancel,8
capture,14
caress,1
carrie,22
cart,1
cash,2
cast,9
castigate,1
catapult,1
cater,3
cause,79
caution,2
cavort,1
cease,18
celebrate,6
center,16
challenge,17
chance,1
change,86
chant,1
characterize,10
charge,16
charm,2
chat,2
chatter,1
check,52
cheer,2
cherish,5
chew,2
chide,2
choke,9
chop,1
chuckle,2
churn,1
circle,2
circulate,2
cite,16
claim,46
clamor,2
clap,1
clarify,13
class,1
clatter,1
clean,19
clear,15
clenche,1
click,1
climax,1
climb,11
clinch,2
cling,9
clobber,2
clog,2
close,45
cloud,1
cluck,1
cluster,5
clutche,1
co-operate,5
coalesce,2
coat,1
coin,1
coincide,17
collaborate,2
collapse,2
collect,21
com,1
combine,22
come,566
command,13
commence,3
commend,8
comment,8
commit,17
commute,12
compare,34
compel,6
compete,24
compile,1
complain,14
complete,24
complicate,2
comply,5
comport,1
compose,8
comprehend,5
compresse,1
comprise,14
compromise,3
conceal,9
concede,9
conceive,16
concentrate,12
concern,26
conclude,20
concur,7
condemn,7
condition,1
conduct,23
confer,4
confess,11
confide,3
confine,2
confirm,19
conform,15
confront,13
confuse,6
congregate,2
conjure,3
connect,5
conquer,4
consent,1
consider,142
consign,2
consist,60
conspire,2
constitute,40
construct,12
construe,1
consult,11
consume,3
contact,5
contain,83
content,3
contest,2
continue,148
contract,10
contradict,6
contribute,54
control,33
converge,3
convert,9
convey,17
convict,1
convince,4
cook,14
cool,9
